,Hospital.Name,Address,Phone.Number,City,ZIP.Code,Price.Score,Performance.Score,Longitude,Latitude
1,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,2125614132,NEW YORK,10016,0.92,69.41176471,-73.975498,40.739217
2,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,2124918400,NEW YORK,10037,0.99,60.53921569,-73.939762,40.814135
3,HOSPITAL FOR SPECIAL SURGERY,535 EAST 70TH STREET,2126061000,NEW YORK,10021,1,87.69607843,-73.952557,40.765043
4,LENOX HILL HOSPITAL,100 EAST 77TH STREET,2124392345,NEW YORK,10021,0.99,69.33333333,-73.960774,40.77388
5,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,2124236262,NEW YORK,10029,0.89,67.26470588,-73.944981,40.785225
6,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,FIRST AVENUE AT 16TH STREET,2124202000,NEW YORK,10003,1.03,69.81372549,-73.981616,40.732649
7,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,2122417981,NEW YORK,10029,0.98,74.19607843,-73.952,40.78999
8,N Y EYE AND EAR INFIRMARY,230 SECOND AVE,2129794000,NEW YORK,10003,NA,93.12121212,-73.9846,40.732403
9,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,2127464189,NEW YORK,10021,0.98,75.33333333,-73.95393,40.764396
10,NYU HOSPITALS CENTER,550 FIRST AVENUE,2122637300,NEW YORK,10016,1.01,76.61764706,-73.974335,40.74207
11,ROCKEFELLER UNIVERSITY HOSPITAL,1230 YORK AVENUE,2125708000,NEW YORK,10021,NA,NA,-73.955829,40.762912
12,ST LUKE'S ROOSEVELT HOSPITAL,1000 TENTH AVENUE,2125234000,NEW YORK,10019,0.96,67.88235294,-73.9619,40.769717
